ratio_multiplier,fn_fp_ratio,cost_fn_inr,cost_fp_inr,chosen_threshold,test_precision,test_recall,test_f1,test_expected_cost
0.25,1.75,87.5,50.0,0.39,0.5357142857142857,0.257985257985258,0.3482587064676617,30975.0
0.5,3.5,175.0,50.0,0.22,0.3419618528610354,0.6167076167076168,0.43996494303242767,51450.0
0.75,5.25,262.5,50.0,0.16,0.2908256880733945,0.7788697788697788,0.42351369405477624,62275.0
1.0,7.0,350.0,50.0,0.13,0.2706349206349206,0.8378378378378378,0.4091181763647271,69050.0
1.5,10.5,525.0,50.0,0.02,0.226488592097941,1.0,0.36932849364791287,69500.0
2.0,14.0,700.0,50.0,0.02,0.226488592097941,1.0,0.36932849364791287,69500.0
3.0,21.0,1050.0,50.0,0.02,0.226488592097941,1.0,0.36932849364791287,69500.0
